Cluster_ID,host
Cluster8618,Eptesicus serotinus
Cluster8704,Eptesicus serotinus
Cluster8731,Eptesicus serotinus
Cluster8735,Eptesicus serotinus
Cluster8753,Eptesicus serotinus
Cluster8799,Eptesicus serotinus
Cluster8817,Eptesicus serotinus
Cluster8818,Eptesicus serotinus
Cluster8849,Eptesicus serotinus
Cluster8911,Eptesicus serotinus
Cluster8932,Eptesicus serotinus
Cluster8953,Eptesicus serotinus
Cluster9026,Eptesicus serotinus
Cluster9048,Eptesicus serotinus
Cluster9124,Eptesicus serotinus
Cluster9130,Eptesicus serotinus
Cluster9137,Eptesicus serotinus
Cluster9142,Eptesicus serotinus
Cluster9160,Eptesicus serotinus
Cluster9243,Eptesicus serotinus
Cluster9246,Eptesicus serotinus
Cluster9275,Eptesicus serotinus
Cluster9371,Eptesicus serotinus
Cluster9387,Eptesicus serotinus
Cluster9403,Eptesicus serotinus
Cluster9424,Eptesicus serotinus
Cluster9425,Eptesicus serotinus
Cluster9489,Eptesicus serotinus
Cluster9494,Eptesicus serotinus
Cluster9511,Eptesicus serotinus
Cluster9518,Eptesicus serotinus
Cluster9543,Eptesicus serotinus
Cluster9560,Eptesicus serotinus
Cluster9605,Eptesicus serotinus
Cluster9619,Eptesicus serotinus
Cluster9654,Eptesicus serotinus
Cluster9679,Eptesicus serotinus
Cluster9681,Eptesicus serotinus
Cluster9760,Eptesicus serotinus
Cluster9785,Eptesicus serotinus
Cluster9796,Eptesicus serotinus
Cluster9814,Eptesicus serotinus
Cluster9839,Eptesicus serotinus
Cluster9844,Eptesicus serotinus
Cluster9866,Eptesicus serotinus
Cluster9874,Eptesicus serotinus
Cluster9898,Eptesicus serotinus
Cluster9917,Eptesicus serotinus
Cluster9931,Eptesicus serotinus
Cluster9968,Eptesicus serotinus
Cluster10001,Eptesicus serotinus
Cluster10006,Eptesicus serotinus
Cluster10017,Eptesicus serotinus
Cluster10035,Eptesicus serotinus
Cluster10040,Eptesicus serotinus
Cluster10060,Eptesicus serotinus
Cluster10081,Eptesicus serotinus
Cluster10115,Eptesicus serotinus
Cluster10159,Eptesicus serotinus
Cluster10194,Eptesicus serotinus
Cluster10208,Eptesicus serotinus
Cluster10209,Eptesicus serotinus
Cluster10212,Eptesicus serotinus
Cluster10230,Eptesicus serotinus
Cluster10298,Eptesicus serotinus
Cluster10330,Eptesicus serotinus
Cluster10352,Eptesicus serotinus
Cluster10383,Eptesicus serotinus
Cluster10404,Eptesicus serotinus
Cluster10416,Eptesicus serotinus
Cluster10426,Eptesicus serotinus
Cluster10429,Eptesicus serotinus
Cluster10432,Eptesicus serotinus
Cluster10434,Eptesicus serotinus
Cluster10450,Eptesicus serotinus
Cluster10454,Eptesicus serotinus
Cluster10482,Eptesicus serotinus
Cluster10575,Eptesicus serotinus
Cluster10594,Eptesicus serotinus
Cluster10615,Eptesicus serotinus
Cluster10617,Eptesicus serotinus
Cluster10623,Eptesicus serotinus
Cluster10624,Eptesicus serotinus
Cluster10731,Eptesicus serotinus
Cluster10863,Eptesicus serotinus
Cluster10919,Eptesicus serotinus
Cluster10929,Eptesicus serotinus
Cluster10931,Eptesicus serotinus
Cluster10946,Eptesicus serotinus
Cluster11003,Eptesicus serotinus
Cluster11013,Eptesicus serotinus
Cluster11034,Eptesicus serotinus
Cluster11040,Eptesicus serotinus
Cluster11058,Eptesicus serotinus
Cluster11112,Eptesicus serotinus
Cluster11119,Eptesicus serotinus
Cluster11132,Eptesicus serotinus
Cluster11267,Eptesicus serotinus
Cluster11297,Eptesicus serotinus
Cluster11303,Eptesicus serotinus
Cluster11328,Eptesicus serotinus
Cluster11350,Eptesicus serotinus
Cluster11376,Eptesicus serotinus
Cluster11418,Eptesicus serotinus
Cluster11472,Eptesicus serotinus
Cluster11473,Eptesicus serotinus
Cluster11532,Eptesicus serotinus
Cluster11562,Eptesicus serotinus
Cluster11594,Eptesicus serotinus
Cluster11609,Eptesicus serotinus
Cluster11613,Eptesicus serotinus
Cluster11621,Eptesicus serotinus
Cluster11626,Eptesicus serotinus
Cluster11634,Eptesicus serotinus
Cluster11680,Eptesicus serotinus
Cluster11694,Eptesicus serotinus
Cluster11747,Eptesicus serotinus
Cluster11787,Eptesicus serotinus
Cluster11830,Eptesicus serotinus
Cluster11834,Eptesicus serotinus
Cluster11843,Eptesicus serotinus
Cluster11873,Eptesicus serotinus
Cluster11881,Eptesicus serotinus
Cluster11905,Eptesicus serotinus
Cluster11937,Eptesicus serotinus
Cluster11946,Eptesicus serotinus
Cluster11963,Eptesicus serotinus
Cluster12055,Eptesicus serotinus
Cluster12061,Eptesicus serotinus
Cluster12107,Eptesicus serotinus
Cluster12131,Eptesicus serotinus
Cluster12247,Eptesicus serotinus
Cluster12337,Eptesicus serotinus
Cluster12353,Eptesicus serotinus
Cluster12358,Eptesicus serotinus
Cluster12360,Eptesicus serotinus
Cluster12370,Eptesicus serotinus
Cluster12387,Eptesicus serotinus
Cluster12432,Eptesicus serotinus
Cluster12586,Eptesicus serotinus
Cluster12595,Eptesicus serotinus
Cluster12601,Eptesicus serotinus
Cluster12668,Eptesicus serotinus
Cluster12686,Eptesicus serotinus
Cluster12688,Eptesicus serotinus
Cluster12716,Eptesicus serotinus
Cluster12739,Eptesicus serotinus
Cluster12789,Eptesicus serotinus
Cluster12793,Eptesicus serotinus
Cluster12854,Eptesicus serotinus
Cluster12856,Eptesicus serotinus
Cluster12876,Eptesicus serotinus
Cluster12886,Eptesicus serotinus
Cluster12900,Eptesicus serotinus
Cluster12946,Eptesicus serotinus
Cluster396,Hipposideros armiger
Cluster491,Hipposideros armiger
Cluster527,Hipposideros armiger
Cluster1013,Hipposideros armiger
Cluster1018,Hipposideros armiger
Cluster1025,Hipposideros armiger
Cluster1108,Hipposideros armiger
Cluster1280,Hipposideros armiger
Cluster1357,Hipposideros armiger
Cluster1457,Hipposideros armiger
Cluster2067,Hipposideros armiger
Cluster2206,Hipposideros armiger
Cluster2494,Hipposideros armiger
Cluster2700,Hipposideros armiger
Cluster3449,Hipposideros armiger
Cluster3511,Hipposideros armiger
Cluster3882,Hipposideros armiger
Cluster3927,Hipposideros armiger
Cluster4035,Hipposideros armiger
Cluster4510,Hipposideros armiger
Cluster4759,Hipposideros armiger
Cluster5463,Hipposideros armiger
Cluster5545,Hipposideros armiger
Cluster5592,Hipposideros armiger
Cluster5650,Hipposideros armiger
Cluster5654,Hipposideros armiger
Cluster5816,Hipposideros armiger
Cluster6091,Hipposideros armiger
Cluster6512,Hipposideros armiger
Cluster7025,Hipposideros armiger
Cluster7099,Hipposideros armiger
Cluster7882,Hipposideros armiger
Cluster8019,Hipposideros armiger
Cluster8689,Hipposideros armiger
Cluster8769,Hipposideros armiger
Cluster8974,Hipposideros armiger
Cluster9399,Hipposideros armiger
Cluster9702,Hipposideros armiger
Cluster9745,Hipposideros armiger
Cluster10714,Hipposideros armiger
Cluster10720,Hipposideros armiger
Cluster10973,Hipposideros armiger
Cluster11906,Hipposideros armiger
Cluster11959,Hipposideros armiger
Cluster70,Hipposideros cineraceus
Cluster614,Hipposideros cineraceus
Cluster1077,Hipposideros cineraceus
Cluster1431,Hipposideros cineraceus
Cluster1598,Hipposideros cineraceus
Cluster1699,Hipposideros cineraceus
Cluster2000,Hipposideros cineraceus
Cluster2001,Hipposideros cineraceus
Cluster2072,Hipposideros cineraceus
Cluster2570,Hipposideros cineraceus
Cluster2899,Hipposideros cineraceus
Cluster3163,Hipposideros cineraceus
