Host,Viral Diversity,Zoonotic Species Count,Zoonotic Sequence Number,Viral Sequence Count,VD_norm,ZSC_norm,ZSN_corrected,ZSN_corrected_norm,VS_ln,VS_ln_norm,EWM_CRS,EWM_rank
Eptesicus regulus,1,0,0,5,0.0,0.0,0.0,0.0,1.791759,0.176807,0.018816,155
Mops midas,1,0,0,5,0.0,0.0,0.0,0.0,1.791759,0.176807,0.018816,156
Nyctalus lasiopterus,1,0,0,5,0.0,0.0,0.0,0.0,1.791759,0.176807,0.018816,157
Cynopterus horsfieldii,1,0,0,4,0.0,0.0,0.0,0.0,1.609438,0.147465,0.015693,158
Dobsonia exoleta,1,0,0,4,0.0,0.0,0.0,0.0,1.609438,0.147465,0.015693,159
Hipposideros diadema,1,0,0,4,0.0,0.0,0.0,0.0,1.609438,0.147465,0.015693,160
Miniopterus minor,1,0,0,4,0.0,0.0,0.0,0.0,1.609438,0.147465,0.015693,161
Mystacina tuberculata,1,0,0,4,0.0,0.0,0.0,0.0,1.609438,0.147465,0.015693,162
Rhinolophus coelophyllus,1,0,0,4,0.0,0.0,0.0,0.0,1.609438,0.147465,0.015693,163
Artibeus planirostris,1,0,0,3,0.0,0.0,0.0,0.0,1.386294,0.111553,0.011871,164
Dobsonia moluccensis,1,0,0,3,0.0,0.0,0.0,0.0,1.386294,0.111553,0.011871,165
Miniopterus australis,1,0,0,3,0.0,0.0,0.0,0.0,1.386294,0.111553,0.011871,166
Otomops harrisoni,1,0,0,3,0.0,0.0,0.0,0.0,1.386294,0.111553,0.011871,167
Rhinolophus subbadius,1,0,0,3,0.0,0.0,0.0,0.0,1.386294,0.111553,0.011871,168
Anoura caudifer,1,0,0,2,0.0,0.0,0.0,0.0,1.098612,0.065254,0.006944,169
Carollia brevicauda,1,0,0,2,0.0,0.0,0.0,0.0,1.098612,0.065254,0.006944,170
Chalinolobus morio,1,0,0,2,0.0,0.0,0.0,0.0,1.098612,0.065254,0.006944,171
Diphylla ecaudata,1,0,0,2,0.0,0.0,0.0,0.0,1.098612,0.065254,0.006944,172
Dyacopterus spadiceus,1,0,0,2,0.0,0.0,0.0,0.0,1.098612,0.065254,0.006944,173
Eidolon dupreanum,1,0,0,2,0.0,0.0,0.0,0.0,1.098612,0.065254,0.006944,174
